#sample	CD24	NBR2	CACNG3	CENPE	CENPF	FUT9	IQGAP2	TMSB15A	FAM107A	SLC38A10	SEZ6	MITD1	TMEM155	CSRP2	NKAIN2	ACSBG1	MLC1	SATB2	GABRA1	GFAP	GJA1	GLI3	TNC	APOE	KCNK1	TM4SF1	MGST1	NELL2	NUSAP1	GULP1	BACH2	RYR3	NEUROD6	MRPS5	SLA	SSRP1	TFAP2C	TOP2A	VCAM1	VIM	LRRC2	SH3TC2	FAT4	VASH2	CSRNP3	MROH9	EOMES	ADGRV1	ENC1	IFITM1
7:fetal_quiescent:SRR1975007	0.958726	0	0	0	0	0	0	0.892386	0	0	0.710516	0.308519	0	0.987561	0.984357	0	0	0.988315	0	0	0	0	0	0	0	0	0	0.755937	0	0.067377	0	0	0.910667	0.450151	0.549755	0.596306	0	0	0	0	0	0	0.318319	0.619299	0.952695	0	0	0	0.954391	0
7:fetal_quiescent:SRR1975008	0.965124	0	0	0	0	0	0	0.735332	0	0	0.450782	0	0	0	0.395046	0	0	0.765645	0	0	0	0	0	0	0	0	0	0.569426	0	0	0.713168	0	0.955671	0.720665	0	0	0	0	0	0	0	0	0	0	0.984029	0	0	0.455508	0.940678	0
7:fetal_quiescent:SRR1975006	0.978282	0	0	0	0	0	0	0.950971	0	0	0	0.816387	0.026818	0.918065	0.869036	0	0	0.953932	0	0	0	0	0	0	0	0	0	0.967094	0	0	0.724910	0	0.494571	0	0	0	0	0	0	0	0	0	0.698256	0	0.982889	0	0	0	0.892399	0
7:fetal_quiescent:SRR1975005	0.767459	0	0	0	0.343962	0	0.019520	0.517701	0	0	0	0	0.074442	0.920223	0.965567	0	0	0.724297	0	0	0	0	0	0	0	0	0	0.994423	0	0	0.993938	0	0.856450	0.708050	0.940349	0	0	0	0	0	0	0	0	0.966537	0.900339	0	0	0	0.846751	0
7:fetal_quiescent:SRR1975004	0.894135	0	0	0	0	0.079825	0	0.826478	0	0	0.439766	0	0	0.948163	0.919445	0	0	0.992942	0	0	0	0	0	0	0	0	0	0.897785	0	0	0.558530	0	0.981991	0	0.953760	0	0	0	0	0	0	0.053298	0.585787	0	0.715989	0	0	0.274763	0	0
7:fetal_quiescent:SRR1975003	0.586175	0	0	0	0	0	0	0.823995	0.367083	0	0	0	0	0.910475	0	0	0	0.512028	0	0	0	0	0	0	0	0	0	0.390378	0	0	0.787454	0	0.858100	0	0.934836	0.499695	0.667783	0	0	0	0	0	0.227771	0	0.954324	0	0	0	0.973508	0
7:fetal_quiescent:SRR1975001	0.921618	0	0	0	0	0	0	0.739800	0	0	0	0	0	0	0	0	0	0.605225	0	0	0	0	0	0	0	0	0	0.447029	0	0	0.720472	0	0.501611	0	0.537223	0	0	0	0	0	0	0	0	0	0.772369	0	0	0.460272	0.329814	0
7:fetal_quiescent:SRR1975002	0.770704	0	0	0	0	0	0	0.757737	0	0	0	0	0	0	0	0	0	0.463749	0	0	0	0	0	0	0	0	0	0.480106	0	0	0.535662	0	0.353669	0.552019	0	0	0	0	0	0	0	0	0	0	0.520189	0	0	0.353669	0.908046	0
7:fetal_quiescent:SRR1974999	0.950666	0	0	0	0	0	0	0.869010	0	0.459881	0	0	0	0.774312	0	0	0	0	0	0	0	0.155089	0.085909	0	0	0	0	0	0	0	0.838673	0.028353	0.353558	0	0.353558	0.477318	0.069322	0	0	0	0.251489	0.324355	0	0.810887	0.429118	0	0	0.505529	0.707117	0
7:fetal_quiescent:SRR1975000	0.915273	0	0	0	0	0.894314	0.260424	0.736232	0	0	0.491639	0.563211	0	0.811817	0.594649	0.882497	0	0.961873	0.956968	0	0	0.083835	0	0	0	0	0	0.546711	0.350056	0	0.973467	0.652620	0.932441	0.260424	0.634114	0.709253	0	0	0	0	0	0	0.392308	0	0.545373	0	0	0.280825	0	0
7:fetal_quiescent:SRR1974998	0.855505	0	0.344041	0	0.887952	0.717499	0.270063	0.389574	0	0	0.359615	0	0	0.915639	0.718581	0	0	0.987021	0	0	0	0	0	0	0	0	0	0.720528	0.025525	0.385572	0.224746	0.193489	0.939650	0.852369	0.240320	0	0	0.505083	0	0	0	0	0	0	0.908501	0	0	0	0	0
8:fetal_replicating:SRR1974997	0.956311	0	0	0.462985	0.987460	0.782160	0	0.966424	0	0.324231	0	0.809061	0	0	0	0	0	0.199029	0	0	0.018103	0	0	0	0	0	0	0	0.925162	0.213794	0.070388	0	0	0.199029	0	0.609426	0.352043	0.691343	0	0	0	0	0	0	0.259608	0	0	0.251011	0	0
7:fetal_quiescent:SRR1974995	0.562319	0.214493	0	0	0.554150	0.064032	0	0.641897	0	0	0	0	0	0.861660	0.699605	0	0	0.919631	0	0	0	0	0.181291	0	0	0	0	0.966008	0	0	0.797892	0	0.519631	0.459289	0.850066	0	0	0	0	0.298946	0	0	0	0.426746	0.908300	0	0	0.298946	0.599736	0
7:fetal_quiescent:SRR1974996	0.975901	0	0.724656	0	0	0.878909	0	0.349831	0	0	0.493129	0	0	0.711014	0.568612	0	0	0.821649	0.675762	0	0	0	0	0	0	0	0	0.568811	0	0	0.871141	0	0.857598	0.731129	0.963951	0	0	0	0	0	0	0	0.844652	0.042123	0.800438	0	0	0.277036	0	0
7:fetal_quiescent:SRR1974994	0.976509	0	0.429003	0	0	0	0	0.729659	0.866142	0	0	0.100919	0	0.564829	0.273885	0	0	0.807612	0	0	0	0	0	0	0	0	0.232415	0.991864	0.232415	0.408071	0.856168	0.689239	0.984252	0.403281	0.847113	0.418241	0	0.139764	0	0	0.121391	0	0.715617	0.932283	0.914698	0	0	0	0.933071	0
7:fetal_quiescent:SRR1974993	0.983723	0	0	0	0.413305	0.661949	0	0	0.102854	0	0	0	0	0.939372	0.381576	0	0	0.865770	0	0	0	0	0.188960	0	0	0	0	0.850436	0	0	0	0	0.995754	0	0.317528	0.525006	0	0	0	0.917905	0	0	0	0.320477	0.640245	0	0	0.493984	0.514036	0
7:fetal_quiescent:SRR1974992	0.413495	0	0	0	0.945872	0	0	0.892734	0	0	0.036085	0	0	0.971083	0.837123	0	0	0.984182	0	0	0	0	0	0	0	0	0	0.755808	0	0.195007	0	0	0.815126	0.453040	0.879387	0.552645	0	0	0.215274	0	0	0	0	0	0.651013	0	0	0	0.995798	0.215274
7:fetal_quiescent:SRR1974990	0.982227	0	0.716486	0	0	0	0	0.845802	0.072021	0	0.772850	0.259733	0	0.991198	0.675271	0	0	0.986121	0	0	0	0	0	0	0	0	0	0.894211	0	0	0.625423	0	0.987136	0	0.962932	0.544008	0	0	0	0	0.128301	0.045447	0.711070	0	0.972410	0	0	0.101049	0.580061	0
8:fetal_replicating:SRR1974989	0.552978	0	0	0.896144	0.979572	0.134975	0.878007	0.946544	0.997136	0.481100	0	0	0	0.827415	0	0.345456	0.517087	0.235204	0	0.759641	0	0.761359	0.730431	0	0	0	0.836388	0.126957	0.957426	0	0	0	0.621802	0.692631	0.235204	0	0.550592	0.921726	0	0.946163	0	0	0.235204	0	0	0.173540	0	0.857961	0.383734	0.248568
7:fetal_quiescent:SRR1974991	0.947243	0	0	0	0.791587	0	0.272695	0.650665	0	0	0.040518	0	0	0.887833	0	0	0	0.961264	0	0	0.041944	0	0.064520	0	0	0	0	0.850285	0	0	0.665637	0.021150	0.944154	0	0.993108	0	0	0	0	0	0.464591	0.220413	0.272695	0.709125	0.437025	0	0	0.159102	0.737643	0
7:fetal_quiescent:SRR1974986	0.949451	0	0.959776	0	0	0	0	0.799097	0	0	0.813078	0	0	0.993977	0	0	0	0.886427	0	0	0	0	0	0	0	0	0	0.844268	0	0	0.323510	0	0.972467	0.573457	0.990105	0.638202	0	0	0	0.403313	0.093353	0	0.984298	0	0.866208	0	0	0	0	0
7:fetal_quiescent:SRR1974987	0.649798	0	0	0	0	0	0	0.702557	0	0	0.247376	0	0	0.996231	0.946433	0	0	0.968775	0	0	0	0	0	0	0	0	0	0.909287	0	0	0	0	0.973082	0	0.523015	0	0.105922	0	0	0	0.226649	0	0.612113	0	0	0	0	0.668102	0.977389	0
7:fetal_quiescent:SRR1974988	0.916684	0.113465	0.033102	0	0	0.447240	0	0.865146	0.904461	0	0.942758	0.762070	0	0	0.561010	0	0	0.879201	0	0	0	0	0	0	0	0	0	0.772662	0	0	0.231819	0.311672	0.627215	0.960481	0.952332	0.951518	0	0	0	0	0.160725	0	0	0	0.218884	0	0	0.160725	0.935221	0
7:fetal_quiescent:SRR1974984	0.894222	0.329752	0	0	0	0	0	0.906877	0	0	0.618911	0.724212	0	0.997851	0.421323	0	0	0.989733	0	0	0	0.091929	0	0	0	0	0	0.829035	0	0	0.944604	0.169890	0.174785	0.356017	0.936485	0.830229	0	0	0	0	0.235793	0	0.348376	0.820917	0.603868	0	0	0.063634	0.807545	0
7:fetal_quiescent:SRR1974985	0.898709	0	0.851090	0	0	0.561340	0	0.758475	0	0	0	0.713882	0	0.983253	0.980226	0	0	0.975182	0	0	0	0	0	0	0	0	0	0.689467	0	0.743039	0	0	0.993543	0.856538	0	0	0	0	0	0	0	0	0	0	0.838579	0	0	0	0	0
7:fetal_quiescent:SRR1974983	0.979172	0	0	0.123517	0	0	0	0.844450	0.144477	0.178223	0	0	0	0	0.452544	0	0	0.634590	0	0	0	0	0	0	0	0	0	0.912207	0.114158	0	0.506987	0.352623	0	0	0	0.406802	0	0	0	0	0	0.224097	0	0	0.717901	0	0	0	0.452544	0
7:fetal_quiescent:SRR1974982	0.946306	0	0	0	0	0.234196	0	0.892993	0	0	0.927075	0	0	0.871668	0	0	0	0.992765	0	0	0	0	0	0	0	0	0	0.911081	0	0	0.621097	0	0.995811	0.849200	0.564928	0	0	0	0	0.698020	0	0.059311	0.933549	0.465156	0.930122	0	0.069593	0	0.675933	0
7:fetal_quiescent:SRR1974981	0.994640	0	0.220846	0.296248	0	0.531943	0	0.652615	0	0.179849	0.663190	0.579313	0	0.988845	0.682095	0	0	0.895987	0.978995	0	0	0	0	0	0	0	0	0.994061	0	0.068883	0.684775	0.711285	0.995799	0.382587	0.927713	0	0	0	0	0	0	0	0	0.771404	0.985224	0	0	0.125380	0.176735	0
7:fetal_quiescent:SRR1974980	0.907140	0	0.190363	0	0	0.664053	0	0.812423	0	0	0.502064	0	0	0.867520	0.836360	0	0	0.953364	0	0	0.147854	0	0	0	0	0	0	0.685514	0	0	0.341209	0.563558	0.986587	0.450475	0.976475	0	0	0	0	0.743706	0	0	0	0.739579	0.956253	0.175402	0	0	0	0
7:fetal_quiescent:SRR1974979	0.938302	0	0	0	0	0	0	0.368960	0	0	0.297161	0	0	0	0.403221	0	0	0.685777	0	0	0	0	0	0	0	0	0	0.905269	0	0	0.535081	0.106197	0.954409	0	0.975976	0.671035	0	0	0	0	0	0	0	0.238193	0	0	0	0.559651	0.658204	0
7:fetal_quiescent:SRR1974978	0.738140	0	0	0	0	0	0	0.680723	0	0	0.879330	0	0	0.959526	0	0	0	0.980045	0	0	0	0	0	0	0	0	0	0.996423	0.723456	0	0.974209	0.450678	0.993223	0	0.826242	0.648532	0	0	0	0	0	0	0.794992	0.774285	0.956514	0	0	0	0.982681	0
7:fetal_quiescent:SRR1974977	0.951246	0	0	0.172914	0	0	0	0	0.060455	0	0.256663	0	0	0.761647	0.443987	0	0	0	0	0	0	0.222752	0	0	0	0	0	0.910293	0	0	0.929144	0.828386	0.063164	0.792199	0.721560	0.837053	0	0	0	0	0	0	0.806934	0	0.291008	0	0	0.754280	0	0
7:fetal_quiescent:SRR1974976	0.977547	0	0	0	0	0	0	0.915026	0.095337	0	0.280484	0	0	0.987565	0	0	0	0.996200	0	0	0	0	0	0	0	0	0	0.498273	0	0	0	0	0.950259	0	0.836269	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244732	0
